iter	Passed	Remaining
399	41909	62864
400	42012	62756
401	42117	62652
402	42231	62561
403	42326	62442
404	42423	62326
405	42529	62223
406	42613	62088
407	42699	61955
408	42816	61869
409	42929	61776
410	43040	61680
411	43152	61586
412	43290	61528
413	43414	61451
414	43525	61355
415	43627	61245
416	43743	61157
417	43874	61087
418	43967	60966
419	44093	60891
420	44210	60802
421	44301	60678
422	44385	60545
423	44485	60433
424	44581	60315
425	44684	60208
426	44783	60096
427	44899	60006
428	44989	59880
429	45098	59781
430	45189	59659
431	45287	59544
432	45385	59430
433	45503	59343
434	45604	59233
435	45684	59096
436	45787	58989
437	45885	58876
438	45971	58746
439	46085	58654
440	46225	58594
441	46368	58537
442	46485	58448
443	46602	58358
444	46709	58255
445	46803	58137
446	46914	58040
447	47027	57944
448	47127	57833
449	47242	57740
450	47330	57615
451	47421	57493
452	47508	57366
453	47613	57261
454	47713	57151
455	47822	57051
456	47938	56960
457	48023	56831
458	48137	56737
459	48222	56609
460	48321	56497
461	48431	56398
462	48539	56297
463	48644	56193
464	48763	56104
465	48867	55998
466	48968	55888
467	49064	55774
468	49165	55664
469	49274	55564
470	49349	55426
471	49448	55314
472	49544	55201
473	49670	55119
474	49771	55010
475	49873	54902
476	50009	54832
477	50101	54712
478	50194	54596
479	50286	54476
480	50385	54366
481	50501	54273
482	50624	54188
483	50721	54074
484	50834	53978
485	50922	53856
486	51016	53740
487	51125	53639
488	51202	53505
489	51323	53417
490	51425	53310
491	51522	53197
492	51613	53079
493	51716	52972
494	51827	52874
495	51942	52779
496	52052	52681
497	52152	52570
498	52267	52477
499	52359	52359
500	52454	52245
501	52582	52163
502	52696	52068
503	52804	51966
504	52911	51863
505	53032	51774
506	53134	51667
507	53246	51568
508	53344	51458
509	53449	51353
510	53554	51248
511	53634	51120
512	53738	51014
513	53847	50914
514	53956	50813
515	54072	50718
516	54194	50630
517	54321	50545
518	54428	50443
519	54504	50311
520	54604	50202
521	54725	50112
522	54842	50018
523	54937	49904
524	55037	49795
525	55127	49677
526	55202	49546
527	55315	49448
528	55423	49347
529	55531	49244
530	55622	49128
531	55729	49025
532	55817	48905
533	55916	48795
534	56044	48711
535	56161	48617
536	56275	48520
537	56395	48428
538	56505	48328
539	56602	48216
540	56716	48120
541	56844	48035
542	56968	47945
543	57071	47839
544	57194	47749
545	57298	47644
546	57421	47553
547	57517	47441
548	57634	47346
549	57749	47249
550	57862	47151
551	57981	47057
552	58090	46956
553	58205	46858
554	58297	46742
555	58395	46632
556	58492	46521
557	58601	46419
558	58743	46343
559	58845	46235
560	58931	46115
561	59047	46018
562	59151	45913
563	59263	45813
564	59391	45726
565	59505	45627
566	59593	45509
567	59721	45421
568	59826	45316
569	59944	45221
570	60052	45118
571	60172	45024
572	60266	44910
573	60389	44818
574	60490	44710
575	60611	44617
576	60710	44506
577	60814	44400
578	60930	44303
579	61040	44201
580	61177	44119
581	61286	44016
582	61399	43917
583	61504	43811
584	61615	43710
585	61696	43587
586	61806	43485
587	61896	43369
588	61977	43247
589	62083	43142
590	62191	43039
591	62299	42936
592	62406	42832
593	62507	42723
594	62610	42616
595	62724	42517
596	62841	42420
597	62932	42306
598	63028	42194
599	63144	42096
600	63253	41993
601	63358	41887
602	63464	41783
603	63568	41677
604	63676	41574
605	63786	41472
606	63907	41376
607	63991	41257
608	64098	41153
609	64183	41035
610	64288	40929
611	64401	40829
612	64520	40733
613	64610	40618
614	64714	40512
615	64823	40409
616	64918	40298
617	64995	40175
618	65096	40067
619	65197	39959
620	65287	39845
621	65411	39751
622	65528	39653
623	65630	39546
624	65741	39445
625	65842	39337
626	65952	39234
627	66046	39123
628	66158	39022
629	66269	38920
630	66362	38807
631	66455	38695
632	66551	38585
633	66666	38485
634	66789	38390
635	66889	38282
636	66982	38170
637	67074	38058
638	67171	37948
639	67266	37837
640	67377	37735
641	67504	37642
642	67597	37531
643	67678	37412
644	67801	37317
645	67912	37215
646	68015	37108
647	68108	36997
648	68225	36898
649	68323	36789
650	68422	36681
651	68518	36570
652	68628	36468
653	68724	36358
654	68827	36252
655	68929	36145
656	69021	36033
657	69146	35939
658	69256	35836
659	69341	35721
660	69425	35605
661	69528	35499
662	69643	35399
663	69742	35291
664	69846	35185
665	69963	35086
666	70054	34974
667	70152	34866
668	70256	34760
669	70354	34652
670	70444	34539
671	70523	34422
672	70620	34313
673	70720	34206
674	70828	34102
675	70935	33998
676	71036	33892
677	71150	33791
678	71241	33679
679	71326	33565
680	71404	33447
