iter	R2	RMSE
0	0.07286946294	0.1366774188
1	0.1387334683	0.1317331605
2	0.1983022641	0.1270959332
3	0.2521511399	0.1227533191
4	0.3009153971	0.118683732
5	0.3446734163	0.1149093104
6	0.393073834	0.1105844994
7	0.4385147044	0.1063642101
8	0.4791115737	0.1024468666
9	0.5156398066	0.09878944547
10	0.5493879076	0.09528570393
11	0.5799896845	0.09199332242
12	0.6078851207	0.08888592308
13	0.6322072374	0.0860850855
14	0.6546363888	0.08341892984
15	0.6755754055	0.08085059324
16	0.6944641676	0.07846164351
17	0.7119307152	0.07618593518
18	0.7274843233	0.07410065911
19	0.7415927082	0.07215703975
20	0.7543305264	0.07035612686
21	0.7664640468	0.06859669642
22	0.7773545342	0.06697816627
23	0.7868700999	0.0655312597
24	0.7955797056	0.06417831793
25	0.8038841299	0.06286120405
26	0.8115629873	0.0616182601
27	0.8187581047	0.06043042148
28	0.8250531514	0.05937168676
29	0.8306175285	0.05841986626
30	0.8358798295	0.05750522478
31	0.8409359625	0.05661249907
32	0.8455245912	0.05578995386
33	0.8497470109	0.05502219174
34	0.853610856	0.05431011987
35	0.8572464834	0.05363147403
36	0.8606060661	0.05299663109
37	0.8633926018	0.05246424599
38	0.8661307415	0.05193579149
39	0.8685887289	0.05145678328
40	0.8707615398	0.05102960577
41	0.8729980299	0.05058614152
42	0.8749837675	0.05018911402
43	0.8768324802	0.04981663903
44	0.8784877727	0.04948075486
45	0.8801155648	0.0491482124
46	0.8817843457	0.04880494422
47	0.8831551531	0.04852115247
48	0.8844024155	0.04826148771
49	0.8855482681	0.04802169776
50	0.8865140474	0.04781865753
51	0.8874798111	0.04761475477
52	0.8887051471	0.04735478461
53	0.8897182468	0.04713876026
54	0.8906353432	0.04694234954
55	0.8915867091	0.04673772722
56	0.8925588802	0.04652770043
57	0.8932989816	0.04636717195
58	0.894174257	0.04617660387
59	0.8949026113	0.04601742238
60	0.8956883486	0.04584508014
61	0.8964437482	0.04567877905
62	0.8971386488	0.04552526036
63	0.897728085	0.04539463409
64	0.8983198279	0.04526311743
65	0.8989800972	0.04511591803
66	0.89955083	0.04498829166
67	0.899870311	0.04491669151
68	0.900566769	0.04476020856
69	0.9009726072	0.04466877044
70	0.9013046839	0.04459381182
71	0.9016717222	0.04451081455
72	0.9021063111	0.04441234172
73	0.9025075321	0.04432123544
74	0.9029777257	0.04421422847
75	0.9034718048	0.04410150585
76	0.903833429	0.04401881947
77	0.9041553712	0.04394507556
78	0.9045339905	0.04385819058
79	0.9047478075	0.04380904804
80	0.9051296928	0.04372114017
81	0.9053410479	0.04367241135
82	0.9058094685	0.04356422069
